Product Name,Product ID,Review Text,Review Rating,Review Date,Reviewer Verified
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"• Unsatisfactory NEVER EVER BUY FROM FLIPKART. In this day and age, when we have a genuine reason as to why we should return a product, the same is rejected stating it is not in the policy. I have tried 3-4 times and... more",1.0,"· Oct, 2024",True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"• Utterly Disappointed Please don't waste your money by buying this phone. After using it for some time, there is a heating problem and the charger automatically stops charging. I have had a very bad experience with this phone....",1.0,· 2 days ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Horrible Overall performance is not good,1.0,· 9 days ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,,1.0,· 10 days ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Not recommended at all Camera in night not good and battery performance around 5 hours total,1.0,· 12 days ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Waste of money! Very poor phone Tipu .,1.0,· 20 days ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,,1.0,· 20 days ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Utterly Disappointed Network problam side button not working,1.0,· 22 days ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Hated it! Battery drains very fast Phones hangs Gets hot even when unused,1.0,· 25 days ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,,1.0,· 1 day ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Hated it! Phone speakers not working properly,1.0,· 1 month ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"1.0 • Hated it! Review for: Color Cobalt Violet • RAM 8 GB • Storage 256 GB The motherboard got damaged within 5 months Devesh Chandrakar , Bengaluru Helpful for 2 3",1.0,,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Horrible Pathetic battery even on 4g it get drained in 4 hours,1.0,· 1 month ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Terrible product Worst product in this range over heating when you are on video call and battery backup is too low on full charge battery only 4 hour backup,1.0,· 1 month ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Hated it! 6 days after speaker damage,1.0,· 1 month ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Waste of money! Everything ok...except battery.... i bought a month ago...but i feel battery is draining so fast...i didnt even use for any game......,1.0,· 1 month ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"• Waste of money! Boss, if you are reading this RETHINK - this phone is not worth the price just run away",1.0,· 1 month ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Hated it! Not good seen blur picture,1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Terrible product Things are gud but at this price segmet iphone is much better in all segments nothing is best expect cam in phone smaal display heat issu battery drain low backup i tottaly dispointed with this phone Harishankar (Kirtan) Ji jaiswal,1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,,1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Hated it! The motherboard got damaged within 5 months,1.0,· 1 month ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Hated it! Product is good but flipkart service experience is too worst,1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"1.0 • Very poor Review for: Color Amber Yellow • RAM 8 GB • Storage 256 GB Do not buy this product. Rama  Biswas , Purba Bardhaman District Helpful 2",1.0,,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"• Utterly Disappointed Dont buy this..i brought this on 27 sep 25..after update camera quality is very poor..so plz dont buy Samsung phone.its my personal rqst for every one RAJEEV Radhakrishnan , Thiruvananthapuram District",1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Utterly Disappointed Camera issue and small green dots on display.,1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Utterly Disappointed Battery is  bad performance,1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Useless product Phone is heating too much after clicking 5 to 10 photos DEEPAK  .,1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Terrible product Bahut heating issues,1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,,1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Very poor Never buy this product,1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Unsatisfactory My worst experience so far from a phone. It has a manufacturing defect. Phone was at 14 dats at service center. Didn't repair the defect. Samsung is also not replacing the phone. Phone is only giving ... more,1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"• Very poor Do not buy this product. Rama  Biswas , Purba Bardhaman District",1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,,1.0,· 2 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"• Did not meet expectations Dont buy the phone in late 2025 or after, everything is as expected, except the battery life, dont think 4k mah and snapdragon processor will help no it wont help, im getting only 3 hours of screen on... more",1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,,1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Worthless Total waste of money.,1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Useless product Delivery not door step.we have paid for door step Delivery. But Delivery boy call to earn your product on hub..we have visit hub and earn. Edom express employee's behavior is not good..rude words use by them,1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Terrible product No charge available need to buy separate and camera quality is very bad it's better go for other brand in this price,1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Bad quality Heating an battery draining issue,1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,,1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"• Hated it! Worst phone for pubg please don't buy. Mangbiang Kharmawlong , East Khasi Hills District",1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,,1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"• Horrible Image is only for show. When you buy this, it will have an Exynos processor instead of a Snapdragon. I tried to return it, but it was not possible. The phone is good, but it does not have the Snapdrag... more",1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"• Hated it! Worst phone for pubg please don't buy. Mangbiang Kharmawlong , East Khasi Hills District",1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Hated it! Battery backup is so tinny it is running only 3-4 hrs it is so terrible 😫,1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"1.0 • Worst experience ever! Review for: Color Onyx Black • RAM 8 GB • Storage 128 GB No this is not nice quality is low Karmjeet Karmjeet , Mansa Helpful",1.0,,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Unsatisfactory All good but not for good battery 🔋,1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Don't waste your money Bettery back not working properly,1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,,1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Worst experience ever!,1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Waste of money! Camera when its night it have line when u shake i don't like,1.0,· 4 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Absolute rubbish! Overheating and battery problems,1.0,· 4 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Utterly Disappointed Camera quality is not as expected.,1.0,· 4 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"• Horrible Usb c charging port don't working properly, One side of type c port is dead. Battery is not pathetic. Don't recommend this pho",1.0,· 4 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Worst experience ever! No this is not nice quality is low,1.0,· 3 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Utterly Disappointed Camera quality is not as expected.,1.0,· 4 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,• Utterly Disappointed Heating issues.,1.0,· 4 months ago,True
Samsung Galaxy S24 5g Snapdragon Cobalt Violet 256 Gb,MOBHDVFKKYGS2K9T,"1.0 • Utterly Disappointed Review for: Color Marble Gray • RAM 8 GB • Storage 256 GB Not worth this mobile this budget Uppala Chandra Sekhar , Nayudupeta Helpful",1.0,,True
